,status,fix_id,home_team_id,home_team_name,home_team_logo,away_team_id,away_team_nome,away_team_logo,rod_num
0,Final,206472,1012,Palmeiras,https://frontendapiapp.blob.core.windows.net/images/88x88/palmeiras.png,1755,Cuiabá,https://frontendapiapp.blob.core.windows.net/images/88x88/cuiaba.png,1
1,Final,206487,1004,Corinthians,https://frontendapiapp.blob.core.windows.net/images/88x88/corinthians.png,1017,Cruzeiro,https://frontendapiapp.blob.core.windows.net/images/88x88/cruzeiro.png,1
2,Final,206547,1055,Red Bull Bragantino,https://frontendapiapp.blob.core.windows.net/images/88x88/bragantino.png,1250,Bahia,https://frontendapiapp.blob.core.windows.net/images/88x88/bahia.png,1
3,Final,206593,1005,Flamengo,https://frontendapiapp.blob.core.windows.net/images/88x88/flamengo.png,1008,Coritiba,https://frontendapiapp.blob.core.windows.net/images/88x88/coritiba.png,1
4,Final,206637,1009,Atlético-MG,https://frontendapiapp.blob.core.windows.net/images/88x88/atletico-mg.png,1015,Vasco,https://frontendapiapp.blob.core.windows.net/images/88x88/vasco.png,1
5,Final,206653,1003,Botafogo,https://frontendapiapp.blob.core.windows.net/images/88x88/botafogo.png,1007,São Paulo,https://frontendapiapp.blob.core.windows.net/images/88x88/sao-paulo.png,1
6,Final,206711,1083,Grêmio,https://frontendapiapp.blob.core.windows.net/images/88x88/gremio.png,1011,Santos,https://frontendapiapp.blob.core.windows.net/images/88x88/santos.png,1
7,Final,206760,1010,Athletico-PR,https://frontendapiapp.blob.core.windows.net/images/88x88/athletico-pr.png,1014,Goiás,https://frontendapiapp.blob.core.windows.net/images/88x88/goias.png,1
8,Final,206781,1024,Fortaleza,https://frontendapiapp.blob.core.windows.net/images/88x88/fortaleza.png,1018,Internacional,https://frontendapiapp.blob.core.windows.net/images/88x88/internacional.png,1
9,Final,206810,1085,América-MG,https://frontendapiapp.blob.core.windows.net/images/88x88/america-mg.png,1006,Fluminense,https://frontendapiapp.blob.core.windows.net/images/88x88/fluminense.png,1
10,Final,206516,1007,São Paulo,https://frontendapiapp.blob.core.windows.net/images/88x88/sao-paulo.png,1085,América-MG,https://frontendapiapp.blob.core.windows.net/images/88x88/america-mg.png,2
11,Final,206526,1011,Santos,https://frontendapiapp.blob.core.windows.net/images/88x88/santos.png,1009,Atlético-MG,https://frontendapiapp.blob.core.windows.net/images/88x88/atletico-mg.png,2
12,Final,206556,1015,Vasco,https://frontendapiapp.blob.core.windows.net/images/88x88/vasco.png,1012,Palmeiras,https://frontendapiapp.blob.core.windows.net/images/88x88/palmeiras.png,2
13,Final,206608,1006,Fluminense,https://frontendapiapp.blob.core.windows.net/images/88x88/fluminense.png,1010,Athletico-PR,https://frontendapiapp.blob.core.windows.net/images/88x88/athletico-pr.png,2
